Total oos: 16794
Total Jupiter OOs 14057

owner,oo,amount
7ANxvmgN6watd64iSJeDB7VUN82DwqYeni4JcNRG4nnV,39iuWrBnZydRKjSriXG67TayE3azZsU15aH9bgi2hCRi,'2702702702.7027'
A9mz6nGVmBkaGnjqgdGuQLUQNFbofpFDfAS4r7tuMCpU,FHuPfzzKVa47GwLeX7G6UB3vNqTbATNQjRf5S9DwSDwF,'2702702702.7027'
B96i34sbEWSqf4J1nNKzMKBJwDwxF6sWrzn3wxsrpHef,FsFkrcryV4i3KeSW45F8Qbw3XaLfh8MExkXYhD4d5Gxt,'2702702702.7027'
CxrTwzWEUE6uSuUBE8hGnH88VjMN1aJKQL3YqyEaSCmD,58fg5QNhgF6pck6nZ87G3xJW7jSHnRXJEjbmLMa5GFbK,'2702702702.7027'
J9mJ1Cq5UZiD8f8h9u4atdCReLtiNxqVDQhoVywATCbd,32a7Tuwr67aGdyB9qrQv1f7mWhY1NGZnLNi8NoPDQW3Y,'2702702702.7027'
4cE5SaGw9cwAc1qseTfZNNe7vhcFwpZK9ZH635wdaRR5,58FAAuGuKX8E4QbEjCc5tMim5DJSvLdJevVihBFCwWom,'2702702702.7027'
DQPL8Qxkr2oxMHbPYxfDbsDr2iT8kvRDRD3oSBNhmBSB,EtiHLeXxfRAidgvCgjM4ho2QKLBDbPx5yxLoGkP8p6t5,'2702702702.7027'
VANMwfPpjb4Vxp3KuMWtgt6EXZAn5igoskFqWeH52gX,GQ4djGPvMvnyfHnFyzLh81FGwnH8TAJW9FHQb94qLWmi,'2702702702.7027'
8WtzRDfymidw3kSBH73rruC6JoYE3X6SC91uW3JrYZBs,GUXxce6rG1vKcTD7VNq3giM6z8MUokvss2EfNdt7X7YZ,'2702702702.7027'
3ZcLZo4ujKBdGFHk9mZDsQPtgMJgHrUj6SHgFB6UmFKd,4ohEcqdxRPjZSzfTyaYwZfedSnqw6ZG536FabfRJs8MG,'2702702702.7027'
FyxUDXyzCWoYKSEBnuLSXh3wmLNj1gczsvsRQFCScP9i,FvzdUH86CdYyXFgmegq79kRwDBRH5RUHtzccNyFEPbzZ,'2702702702.7027'
4k25zjZf9eYT4ZJJX2qXr2VhMyScU9jhvXirszh8xp4R,De4sq96M6cahhngL6kn1eB4dobp6WScbikgdKQNJDHfo,'2702702702.7027'
